barrio,distrito,nombre,estado_licencia,capacidad
vallehermoso,chamberi,BAR LA FELICIDAD,Abierta,50.38
ensanche de vallecas,villa de vallecas,EL HOJALDRE PANADERIA CAFETERIA,Abierta,31.14
goya,salamanca,BUENDI TABERNA,Abierta,19.34
hispanoamerica,chamartin,LA VACA PICADA,Abierta,38.73
el viso,chamartin,BAR RESTAURANTE,Abierta,99.93
delicias,arganzuela,KEBABISH,Abierta,29.7
valverde,fuencarral-el pardo,SAONA LAS TABLAS,Abierta,17.5
embajadores,centro,"LA MANYULA, BAR, CAFETERÍA, RACIONES",Abierta,20.06
almenara,tetuan,BAR,Abierta,27.11
arapiles,chamberi,BAR BERDI,Abierta,23.54
pueblo nuevo,ciudad lineal,"PULPERIA O,MIÑO",Abierta,47.57
chopera,arganzuela,BAR ORENSE,Abierta,12.96
pradolongo,usera,BAR JACKY,Abierta,24.6
gaztambide,chamberi,MUESTRA LUMINOSA,Abierta,5.03
goya,salamanca,TABERNA COLINA,Abierta,27.2
san fermin,usera,BAR CAFETERIA,Abierta,68.74
canillas,hortaleza,RESTAURANTE TERRAZA PALACIO DE HIELO,Abierta,90.0
castilla,chamartin,RESTAURANTE KUN FU,Abierta,26.88
cuatro caminos,tetuan,KABUKI,Abierta,91.68
pueblo nuevo,ciudad lineal,GARDEN FRIED CHICKSN,Abierta,2.88
el viso,chamartin,SI SEÑOR,Abierta,85.17
el pilar,fuencarral-el pardo,JYM RACIONES Y TAPAS CASERAS,Abierta,25.92
embajadores,centro,SANI SAPORI,Abierta,7.65
los angeles,villaverde,EL ASADOR DE ENRIQUE,Abierta,19.44
portazgo,puente de vallecas,BAR DAMA,Abierta,53.37
imperial,arganzuela,KAHUNA,Abierta,16.06
vista alegre,carabanchel,ROJAS,Abierta,19.99
universidad,centro,BAR LA MIRINDA,Abierta,24.12
hispanoamerica,chamartin,TOMEU,Abierta,89.86
rios rosas,chamberi,STIVENSON,Abierta,22.68
goya,salamanca,VIPS,Abierta,11.48
lista,salamanca,TABERNA DEGUSTA,Abierta,21.07
