barrio,precio,numero_habitaciones,reseñas,servicios
trafalgar,360.0,3.0,1,"Wifi,Kitchen,Stove,Smart lock,Hot water,Iron,Microwave,Heating,Toaster,TV,Washer,Fire extinguisher,Elevator,Hair dryer,Bed linens,Pets allowed,Coffee maker,Dryer,Dishwasher,Oven,Self check-in,Dedicated workspace,Cooking basics,Refrigerator,Air conditioning,Crib"
san isidro,199.0,1.0,5,"Ethernet connection,First aid kit,Wifi,TV with standard cable,Essentials,Stove,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Heating,Toaster,Rice maker,Shower gel,Hot water kettle,Washer,Backyard,Lock on bedroom door,Shampoo,BBQ grill,Long term stays allowed,Hair dryer,Bed linens,Outdoor dining area,Coffee maker,Free street parking,Dishes and silverware,Barbecue utensils,Private entrance,Cleaning products,Oven,Smoking allowed,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
fuente del berro,198.0,3.0,44,"Wifi,TV with standard cable,Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Hangers,Clothing storage,Dining table,Heating,Shower gel,Washer,Shampoo,Wine glasses,Body soap,Hair dryer,Bed linens,Host greets you,Freezer,Coffee maker,Drying rack for clothing,Dishes and silverware,Dishwasher,Cleaning products,Oven,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
universidad,178.0,1.0,129,"City skyline view,Wifi,Induction stove,AC - split type ductless system,Kitchen,Essentials,Mini fridge,Hot water,Iron,Paid parking off premises,Microwave,Hangers,Portable fans,Dining table,Free washer  In unit,Heating,Toaster,Shower gel,Hot water kettle,Private patio or balcony,Carbon monoxide alarm,Sun loungers,Fire extinguisher,Elevator,Ceiling fan,Smoke alarm,Wine glasses,Exterior security cameras on property,Long term stays allowed,Body soap,Hair dryer,Bed linens,Outdoor dining area,Drying rack for clothing,Dishwasher,Cleaning products,Coffee maker: Nespresso,Oven,Dedicated workspace,Cooking basics,TV with Chromecast,Room-darkening shades,Refrigerator,Dishes and silverware,Outdoor furniture"
justicia,72.0,1.0,97,"Ethernet connection,Wifi,Central air conditioning,Kitchen,Essentials,Clothing storage: closet, wardrobe, and dresser,Iron,Microwave,Hangers,Dining table,Free washer  In unit,Portable heater,Elevator,Shampoo,Body soap,Hair dryer,Bed linens,Coffee,Host greets you,Freezer,Coffee maker,Cleaning products,Dedicated workspace,HDTV with Netflix, Amazon Prime Video, Disney+,Cooking basics,Room-darkening shades,Dishes and silverware"
pacífico,193.0,4.0,27,"First aid kit,Wifi,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Smart lock,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Crib - available upon request,Free washer  In unit,Heating,Dining table,Shower gel,Hot water kettle,TV,Elevator,Fire extinguisher,Shampoo,Propia body soap,LG induction stove,Smoke alarm,Wine glasses,Long term stays allowed,Hair dryer,Bed linens,Pets allowed,Freezer,Coffee maker,Drying rack for clothing,Dishwasher,Cleaning products,Oven,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
cortes,120.0,1.0,19,"42 inch HDTV with standard cable,Ethernet connection,Wifi,Central air conditioning,Clothing storage: closet,Induction stove,Kitchen,Essentials,Smart lock,Hot water,Iron,Microwave,Paid crib - available upon request,Hangers,Extra pillows and blankets,Dining table,Free washer  In unit,Pack n play/Travel crib,Toaster,Shower gel,Hot water kettle,Paid parking lot off premises,Elevator,Central heating,Fire extinguisher,Noise decibel monitors on property,Shampoo,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Freezer,Heating - split type ductless system,Coffee maker,Laundromat nearby,Drying rack for clothing,Cleaning products,Oven,Self check-in,Free dryer  In unit,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Single level home"
justicia,161.0,2.0,134,"Other electric stove,City skyline view,Wifi,Central air conditioning,TV with standard cable,Kitchen,Essentials,Hot water,Paid parking off premises,Microwave,Hangers,Coffee maker: pour-over coffee,Dining table,Free washer  In unit,Toaster,Shower gel,Hot water kettle,Lockbox,Central heating,Patio or balcony,Long term stays allowed,Body soap,Hair dryer,Bed linens,Pets allowed,Freezer,Cleaning products,Oven,Self check-in,Cooking basics,Refrigerator,Dishes and silverware"
embajadores,93.0,1.0,69,"Board games,Books and reading material,First aid kit,Clothing storage: closet,Induction stove,Kitchen,Essentials,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Portable heater,Shower gel,Hot water kettle,Paid parking lot off premises,TV,Courtyard view,Washer,Lockbox,Lock on bedroom door,Shampoo,Private living room,Paid parking on premises,Body soap,Bathtub,Hair dryer,Bed linens,Coffee,Pets allowed,Freezer,Drying rack for clothing,Cleaning products,Self check-in,Dedicated workspace,Cooking basics,Coffee maker: drip coffee maker,Wine glasses,Fast wifi  249 Mbps,Refrigerator,Dishes and silverware,Single level home"
goya,5000.0,3.0,0,"Coffee maker,Dishwasher,Wifi,Hair dryer,Oven,Washer,Iron,Air conditioning,Dryer"
