barrio,precio,numero_habitaciones,reseñas,servicios
sol,63.0,2.0,176,"TV with standard cable,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Portable fans,Dining table,Free washer  In unit,Heating,Shower gel,Changing table,Hot water kettle,Elevator,Courtyard view,Paid parking lot off premises,Lockbox,Shampoo,Wine glasses,Body soap,Hair dryer,Bed linens,Coffee,Pets allowed,Freezer,Coffee maker,Laundromat nearby,Drying rack for clothing,Cleaning products,Oven,Smoking allowed,Self check-in,Babysitter recommendations,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
palacio,173.0,1.0,4,"Dishes and silverware,Wifi,Hair dryer,Bed linens,Kitchen,Essentials,Washer,Cooking basics,HDTV,Air conditioning"
embajadores,90.0,1.0,2,"Clothing storage: closet and wardrobe,Ethernet connection,Wifi,Kitchen,Essentials,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Dining table,Free washer  In unit,Heating,Toaster,Hot water kettle,TV,Ceiling fan,Wine glasses,Long term stays allowed,Hair dryer,Bed linens,Host greets you,Coffee maker,Laundromat nearby,Drying rack for clothing,Private entrance,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
los rosales,51.0,1.0,51,"32 inch HDTV,City skyline view,Wifi,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Microwave,Electric stove,Hangers,Extra pillows and blankets,Dining table,Portable heater,Shower gel,Hot water kettle,Private patio or balcony,Lockbox,Ceiling fan,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Stainless steel single oven,Private backyard,Freezer,Coffee maker,Laundromat nearby,Free street parking,Drying rack for clothing,Paid washer  In unit,Private entrance,Cleaning products,Mercadona shampoo,Self check-in,Cleaning available during stay,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
aguilas,56.0,1.0,12,"Board games,Ethernet connection,Books and reading material,Sound system with Bluetooth and aux,Wifi,Kitchen,Essentials,Hot water,Extra pillows and blankets,Private patio or balcony,Carbon monoxide alarm,Elevator,Backyard,Bed linens,Coffee,Host greets you,Heating - split type ductless system,Free street parking,Movie theater,Clothing storage: dresser,Dishes and silverware,Coffee maker: Nespresso,TV with Amazon Prime Video, Fire TV,Dedicated workspace,Cooking basics,Bikes,Refrigerator,Air conditioning"
universidad,107.0,1.0,237,"Ethernet connection,First aid kit,Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Paid parking off premises,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Pack n play/Travel crib,Heating,TV,Washer,Carbon monoxide alarm,Fire extinguisher,Elevator,Shampoo,Smoke alarm,Long term stays allowed,Hair dryer,Bed linens,Host greets you,Coffee maker,Dishes and silverware,Oven,Cooking basics,Refrigerator,Air conditioning,Crib"
fontarrón,22.0,1.0,0,"First aid kit,Wifi,Clothing storage: closet,Kitchen,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Dining table,Toaster,Portable heater,TV,Washer,Fire extinguisher,Lock on bedroom door,Ceiling fan,Long term stays allowed,Bed linens,Host greets you,Freezer,Coffee maker,Blender,Free street parking,Drying rack for clothing,Oven,Cleaning available during stay,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Single level home"
puerta del angel,139.0,2.0,203,"Building staff,Ethernet connection,First aid kit,Wifi,Clothing storage: closet,Kitchen,Essentials,Stove,Hot water,Iron,Paid parking off premises,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Heating,Toaster,Private patio or balcony,Hot water kettle,TV,Washer,Carbon monoxide alarm,Fire extinguisher,High chair,Shampoo,Smoke alarm,Wine glasses,Long term stays allowed,Hair dryer,Bed linens,Coffee,Pets allowed,Freezer,Coffee maker,Blender,Laundromat nearby,Free street parking,Dryer,Drying rack for clothing,Dishes and silverware,Conditioner,Cleaning products,Oven,Self check-in,Babysitter recommendations,Dedicated workspace,Cooking basics,Room-darkening shades,Pocket wifi,Refrigerator,Air conditioning,Single level home"
palacio,148.0,2.0,96,"Wifi,Kitchen,Essentials,Stove,Smart lock,Hot water,Iron,Microwave,Heating,Toaster,Hot water kettle,TV,Washer,Elevator,Bathtub,Hair dryer,Bed linens,Air conditioning,Freezer,Coffee maker,Oven,Self check-in,Cooking basics,Refrigerator,Dishes and silverware,Crib"
embajadores,184.0,1.0,24,"Books and reading material,Wifi,Clothing storage: closet,Kitchen,Essentials,Stove,Smart lock,Hot water,Iron,Paid parking off premises,Microwave,Hangers,Extra pillows and blankets,Dining table,Heating,Toaster,Shower gel,Hot water kettle,TV,Washer,Elevator,Shampoo,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Freezer,Coffee maker,Blender,Laundromat nearby,Drying rack for clothing,Dishes and silverware,Cleaning products,Self check-in,Cooking basics,Room-darkening shades,Pocket wifi,Refrigerator,Air conditioning,Single level home"
moscardó,69.0,2.0,61,"Wifi,Kitchen,Essentials,Stove,Hot water,Microwave,Shower gel,TV,Washer,Shampoo,Long term stays allowed,Body soap,Air conditioning,Freezer,Coffee maker,Dishwasher,Cleaning products,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
palacio,121.0,2.0,89,"Wifi,Induction stove,AC - split type ductless system,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Free washer  In unit,Shower gel,Private patio or balcony,Carbon monoxide alarm,Pack n play/Travel crib - available upon request,High chair,Paid parking garage off premises,Shampoo,Smoke alarm,Long term stays allowed,Hair dryer,Bed linens,Host greets you,Freezer,Heating - split type ductless system,Coffee maker,40 inch TV,Dishwasher,Oven,Free dryer  In unit,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
hispanoamérica,141.0,2.0,138,"Wifi,Kitchen,Stove,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Dining table,Heating,Shower gel,TV,Washer,Elevator,Shampoo,Long term stays allowed,Hair dryer,Bed linens,Freezer,Coffee maker,Dishwasher,Oven,Cooking basics,Refrigerator,Dishes and silverware"
universidad,188.0,2.0,139,"Ethernet connection,City skyline view,First aid kit,Wifi,Central air conditioning,Induction stove,Kitchen,Essentials,32 inch HDTV with Netflix,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Portable fans,Dining table,Free washer  In unit,Heating,Toaster,Shower gel,Private patio or balcony,Lockbox,Carbon monoxide alarm,Fire extinguisher,High chair,Paid parking garage off premises,Shampoo,Smoke alarm,Long term stays allowed,Body soap,Hair dryer,Bed linens,Freezer,Coffee maker,Laundromat nearby,Drying rack for clothing,Clothing storage: closet and dresser,Dishwasher,Cleaning products,Oven,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Crib,Single level home"
casco histórico de barajas,162.0,2.0,139,"Board games,Bidet,Books and reading material,Breakfast,Wifi,Childrens books and toys,Central air conditioning,Kitchen,Essentials,Stove,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Clothing storage,Crib - available upon request,Free washer  In unit,Dining table,Toaster,Shower gel,TV,Elevator,Central heating,Fire extinguisher,Wine glasses,Long term stays allowed,Bathtub,Hair dryer,Bed linens,Coffee,Shared pool,Free parking garage on premises,Host greets you,Freezer,Blender,Free street parking,Drying rack for clothing,Dishwasher,Private entrance,Hipoalergenico  body soap,Cleaning products,Coffee maker: Nespresso,Oven,Arcade games,Dedicated workspace,Cooking basics,Room-darkening shades,Pocket wifi,Refrigerator,Dishes and silverware,Single level home"
ventas,229.0,2.0,29,"First aid kit,Wifi,Kitchen,Essentials,Smart lock,Iron,Hangers,Heating,TV,Washer,Fire extinguisher,Shampoo,Smoke alarm,Hair dryer,Pets allowed,Dryer,Self check-in,Dedicated workspace,Air conditioning"
lucero,19.0,1.0,6,"Bidet,Wifi,Kitchen,Essentials,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Heating,Toaster,TV,Washer,Elevator,Free parking on premises,Long term stays allowed,Hair dryer,Bed linens,Freezer,Coffee maker,Free street parking,Drying rack for clothing,Dishwasher,Cleaning products,Oven,Cleaning available during stay,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
valdeacederas,97.0,1.0,243,"Breakfast,Wifi,Clothing storage: closet,Induction stove,AC - split type ductless system,Kitchen,Essentials,Smart lock,Hot water,Iron,Luggage dropoff allowed,Paid street parking off premises,Microwave,43 inch HDTV with Amazon Prime Video, Netflix,Hangers,Extra pillows and blankets,Dining table,Free washer  In unit,Toaster,Shower gel,Hot water kettle,Elevator,Pack n play/Travel crib - available upon request,Folding or convertible high chair - available upon request,Shampoo,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Teka refrigerator,Freezer,Heating - split type ductless system,Laundromat nearby,Free residential garage on premises  1 space,Cleaning products,Coffee maker: Nespresso,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Dishes and silverware,Crib"
sol,225.0,2.0,393,"Wifi,Central air conditioning,Kitchen,Essentials,Iron,Luggage dropoff allowed,Hangers,Dining table,Heating,Toaster,HDTV with Amazon Prime Video, Disney+, Netflix, premium cable,Hot water kettle,Lockbox,Elevator,Washer,Shampoo,Hair dryer,Freezer,Coffee maker,Dishwasher,Private entrance,Self check-in,Wine glasses,Refrigerator,Dishes and silverware,Crib"
palacio,114.0,2.0,6,"Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Washer  In unit,Heating,Lockbox,TV,Patio or balcony,High chair,Shampoo,Long term stays allowed,Hair dryer,Bed linens,Pets allowed,Indoor fireplace,Dishwasher,Private entrance,Oven,Self check-in,Cooking basics,Refrigerator,Air conditioning,Crib"
pilar,60.0,2.0,50,"Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Dining table,Pack n play/Travel crib,Toaster,Shower gel,TV,Washer,Central heating,Elevator,Shampoo,Ceiling fan,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Host greets you,Freezer,Laundromat nearby,Drying rack for clothing,Dishes and silverware,Conditioner,Dishwasher,Coffee maker: drip coffee maker,Cleaning products,Oven,Dedicated workspace,Cooking basics,Fast wifi  423 Mbps,Room-darkening shades,Refrigerator,Air conditioning,Single level home"
hispanoamérica,118.0,2.0,0,"Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Washer  In unit,Heating,Lockbox,TV,Elevator,High chair,Shampoo,Long term stays allowed,Hair dryer,Bed linens,Pets allowed,Dishwasher,Private entrance,Oven,Self check-in,Cooking basics,Refrigerator,Air conditioning,Crib"
palos de moguer,58.0,0.0,121,"Paid clamp on table seat high chair - available upon request,Wifi,Harbor view,AC - split type ductless system,Essentials,Kitchen,Hot water,Iron,Paid street parking off premises,Microwave,Hangers,Dining table,Free washer  In unit,Toaster,Portable heater,Shower gel,Hot water kettle,Fire extinguisher,Paid pack n play/travel crib - available upon request,Shampoo,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,32 inch HDTV with standard cable,Host greets you,Coffee maker,Drying rack for clothing,Cleaning products,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
lista,238.0,2.0,44,"Clothing storage: closet and wardrobe,Central air conditioning,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Private backyard  Fully fenced,Rituals shampoo,Rituals conditioner,Free washer  In unit,50 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Netflix,Fast wifi  332 Mbps,Toaster,Shower gel,Hot water kettle,Paid parking lot off premises,Carbon monoxide alarm,Courtyard view,Safe,Central heating,Fire extinguisher,Elevator,Rituals body soap,Smoke alarm,Stainless steel oven,Exterior security cameras on property,Long term stays allowed,Hair dryer,Bed linens,Teka induction stove,Freezer,Blender,Drying rack for clothing,Dishwasher,Coffee maker: Nespresso,Wine glasses,Refrigerator,Dishes and silverware,Outdoor furniture"
castillejos,105.0,1.0,1,"Exercise equipment,Wifi,TV with standard cable,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Loewe conditioner,Microwave,Hangers,Dining table,Free washer  In unit,Heating,Toaster,Shower gel,Elevator,Pack n play/Travel crib - available upon request,Coffee maker: espresso machine,Free parking on premises,Wine glasses,Shared gym in building,Long term stays allowed,Hair dryer,Bed linens,Loewe body soap,Host greets you,Freezer,Free street parking,Drying rack for clothing,Dishes and silverware,High chair - available upon request,Loewe shampoo,Dishwasher,Oven,Free dryer  In unit,Dedicated workspace,Cooking basics,Room-darkening shades,Air conditioning"
pradolongo,23.0,1.0,12,"Trash compactor,Bidet,Kitchen,Essentials,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Portable fans,Dining table,Free washer  In unit,Clothing storage: wardrobe,Hot water kettle,Patio or balcony,Valley view,Free parking on premises,Ceiling fan,Long term stays allowed,Hair dryer,Bed linens,Stainless steel single oven,Host greets you,Freezer,Outdoor dining area,Fast wifi  520 Mbps,Free street parking,Drying rack for clothing,Cleaning products,Cleaning available during stay,Dedicated workspace,Cooking basics,Wine glasses,Refrigerator,Dishes and silverware"
san diego,69.0,1.0,82,"Stainless steel double oven,Wifi,Clothing storage: closet,Induction stove,Kitchen,Essentials,Mini fridge,Smart lock,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Dining table,Shower gel,Private patio or balcony,TV,Washer,Clamp on table seat high chair - always at the listing,Shampoo,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Coffee maker: espresso machine, Nespresso,Freezer,Heating - split type ductless system,Laundromat nearby,Free street parking,Drying rack for clothing,Dishes and silverware,Conditioner,Dishwasher,Cleaning products,Self check-in,Cleaning available during stay,Dedicated workspace,Cooking basics,Wine glasses,Refrigerator,Air conditioning"
los rosales,80.0,2.0,85,"Exercise equipment,Mosquito net,Wifi,Kitchen,Essentials,Smart lock,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Onkyo sound system with Bluetooth and aux,Dining table,Shower gel,Private patio or balcony,Elevator,Washer,Clothing storage: walk-in closet, closet, wardrobe, and dresser,HDTV,Shampoo,Ceiling fan,Wine glasses,Radiant heating,Body soap,Hair dryer,Coffee,Freezer,Laundromat nearby,Free street parking,Drying rack for clothing,Dishes and silverware,Cleaning products,Coffee maker: Nespresso,Oven,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
universidad,76.0,1.0,557,"Ethernet connection,First aid kit,Wifi,AC - split type ductless system,Kitchen,Essentials,Stove,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Heating,Carbon monoxide alarm,Washer,Courtyard view,Fire extinguisher,HDTV,Shampoo,Paid parking on premises,Smoke alarm,Exterior security cameras on property,Long term stays allowed,Hair dryer,Bed linens,Host greets you,Coffee maker,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
pueblo nuevo,81.0,1.0,1,"First aid kit,Wifi,Pets allowed,Kitchen,TV,Washer,Courtyard view,Dedicated workspace,Laundromat nearby,Lock on bedroom door"
pueblo nuevo,56.0,2.0,94,"Breakfast,Wifi,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Dining table,Dia  shampoo,Toaster,Shower gel,Lockbox,TV,Washer,Pack n play/Travel crib - available upon request,Coffee maker: espresso machine,Dia body soap,Wine glasses,Long term stays allowed,Hair dryer,Bed linens,Coffee,Pets allowed,BEko stainless steel double oven,Heating - split type ductless system,Free street parking,Drying rack for clothing,Dishes and silverware,Cleaning products,Self check-in,Candy  refrigerator,Cooking basics,Room-darkening shades,Air conditioning"
sol,119.0,1.0,6,"Ethernet connection,First aid kit,Wifi,Essentials,Mini fridge,Smart lock,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Heating,Shower gel,Hot water kettle,TV,Safe,Carbon monoxide alarm,Fire extinguisher,Elevator,Shampoo,Smoke alarm,Exterior security cameras on property,Hair dryer,Bed linens,TOR body soap,Coffee maker,Laundromat nearby,Dishes and silverware,Self check-in,Pocket wifi,Air conditioning"
embajadores,117.0,2.0,47,"Books and reading material,First aid kit,Wifi,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Smart lock,Hot water,Iron,Paid street parking off premises,Electric stove,Hangers,Extra pillows and blankets,Portable fans,Dining table,Free washer  In unit,Heating,Toaster,Shower gel,Hot water kettle,Portable air conditioning,Ceiling fan,Wine glasses,Body soap,Hair dryer,Bed linens,Laundromat nearby,Drying rack for clothing,TV with HBO Max,Cleaning products,Coffee maker: Nespresso, pour-over coffee,Self check-in,Free dryer  In unit,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware,Single level home"
castilla,123.0,1.0,14,"Outlet covers,Ethernet connection,Wifi,Kitchen,Essentials,Mini fridge,Hot water,Iron,Microwave,Hangers,Dining table,Toaster,Shower gel,Hot water kettle,TV,Washer,Central heating,Elevator,Stainless steel oven,Wine glasses,Long term stays allowed,Hair dryer,Bed linens,Freezer,Dishes and silverware,Dishwasher,Clothing storage: walk-in closet and closet,Coffee maker: Nespresso,Free dryer  In unit,Dedicated workspace,Room-darkening shades,Refrigerator,Air conditioning"
embajadores,65.0,1.0,38,"Wifi,TV with standard cable,Kitchen,Essentials,Stove,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Heating,Carbon monoxide alarm,Washer,Fire extinguisher,Baby bath,Shampoo,Smoke alarm,Long term stays allowed,Hair dryer,Host greets you,Free street parking,Dishes and silverware,Oven,Smoking allowed,Babysitter recommendations,Dedicated workspace,Cooking basics,Refrigerator,Air conditioning"
embajadores,105.0,0.0,327,"City skyline view,Wifi,AC - split type ductless system,Kitchen,Essentials,Stove,Hot water,Iron,Paid parking off premises,Luggage dropoff allowed,Microwave,Hangers,Free washer  In unit,Heating,TV,Elevator,Shampoo,Long term stays allowed,Body soap,Hair dryer,Pets allowed,Host greets you,Coffee maker,Cleaning products,Smoking allowed,Cooking basics,Refrigerator"
embajadores,61.0,1.0,1,"Bidet,Ethernet connection,First aid kit,Wifi,Clothing storage: closet,Kitchen,Essentials,Stove,Hot water,Microwave,Hangers,Portable fans,Dining table,Toaster,Shower gel,Hot water kettle,Lockbox,Central heating,Patio or balcony,Shampoo,Wine glasses,Body soap,Bathtub,Hair dryer,Bed linens,Coffee,Freezer,Coffee maker,Window guards,Dishwasher,Cleaning products,Oven,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
castilla,60.0,1.0,104,"Building staff,Private outdoor pool - available seasonally, open specific hours,Board games,Private gym,Books and reading material,Wifi,Clothing storage: closet,Kitchen,Essentials,Hot water,Iron,Paid street parking off premises,Microwave,Hangers,Pool view,Dining table,Pack n play/Travel crib,Heating,Toaster,Shower gel,TV,Washer,Elevator,Shampoo,Paid parking on premises,Long term stays allowed,Hair dryer,Bed linens,Freezer,Coffee maker,Drying rack for clothing,Dishes and silverware,Cleaning products,Oven,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning,Crib"
universidad,219.0,3.0,73,"Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Hangers,Clothing storage,Dining table,Heating,Toaster,Hot water kettle,TV,Washer,Patio or balcony,Long term stays allowed,Body soap,Hair dryer,Bed linens,Freezer,Coffee maker,Drying rack for clothing,Dishwasher,Cleaning products,Dedicated workspace,Cooking basics,Refrigerator,Dishes and silverware"
palos de moguer,160.0,0.0,100,"First aid kit,Wifi,Clothing storage: closet,Coffee maker: french press,Kitchen,Essentials,Exercise equipment: yoga mat,Stove,Hot water,Iron,Luggage dropoff allowed,Microwave,Keypad,Hangers,Standalone high chair - available upon request,Crib - available upon request,Heating,Dining table,Toaster,Shared gym nearby,Shower gel,Hot water kettle,TV,Carbon monoxide alarm,Fire extinguisher,Elevator,Noise decibel monitors on property,Shampoo,Smoke alarm,Wine glasses,Exterior security cameras on property,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Pets allowed,Freezer,Drying rack for clothing,Dishes and silverware,Dishwasher,Cleaning products,Oven,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
vallehermoso,133.0,2.0,2,"Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Washer  In unit,Heating,Lockbox,TV,Elevator,High chair,Shampoo,Long term stays allowed,Hair dryer,Bed linens,Pets allowed,Dishwasher,Private entrance,Oven,Self check-in,Cooking basics,Refrigerator,Air conditioning,Crib"
embajadores,132.0,1.0,225,"Wifi,Clothing storage: closet,Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Hangers,Dining table,Heating,Toaster,Shower gel,Hot water kettle,Private patio or balcony,Elevator,Washer,Fire extinguisher,Lockbox,Shampoo,Long term stays allowed,Body soap,Hair dryer,Bed linens,Freezer,Coffee maker,Laundromat nearby,Drying rack for clothing,Dishes and silverware,40 inch HDTV with Amazon Prime Video, HBO Max, Chromecast, Netflix, premium cable, Roku, standard cable,Oven,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Air conditioning"
universidad,80.0,1.0,24,"EV charger,Sound system,First aid kit,Wifi,Central air conditioning,Shared backyard  Fully fenced,Clothing storage: closet,Bikes,Kitchen,Essentials,Mini fridge,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Coffee maker: pour-over coffee,Portable fans,Dining table,Free washer  In unit,Heating,Beko stainless steel electric stove,Toaster,Shower gel,Hot water kettle,Paid parking lot off premises,Safe,Pack n play/Travel crib - available upon request,Fire extinguisher,Fireplace guards,Shampoo,Outdoor furniture,Wine glasses,Exterior security cameras on property,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Freezer,Laundromat nearby,Drying rack for clothing,Dishes and silverware,Conditioner,Window guards,Private entrance,Cleaning products,Beach access  Beachfront,Babysitter recommendations,Dedicated workspace,Cooking basics,Baby safety gates,Room-darkening shades,Refrigerator,50 inch HDTV with Netflix, premium cable, standard cable,Crib"
justicia,136.0,1.0,96,"Ethernet connection,First aid kit,Wifi,Clothing storage: closet,AC - split type ductless system,Kitchen,Essentials,Hot water,Iron,Microwave,Hangers,Crib - available upon request,Free washer  In unit,Dining table,Toaster,Shower gel,Hot water kettle,TV,Fire extinguisher,Paid parking garage off premises,Shampoo,Wine glasses,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Pets allowed,Freezer,Heating - split type ductless system,Laundromat nearby,Blender,Drying rack for clothing,Dishwasher,Cleaning products,Coffee maker: Nespresso,Childrens dinnerware,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
ibiza,107.0,2.0,132,"Wifi,Central air conditioning,Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Clothing storage,Dining table,Free washer  In unit,Baking sheet,Shower gel,Hot water kettle,50 inch HDTV with Netflix, standard cable,Lockbox,Central heating,Fire extinguisher,Shampoo,Long term stays allowed,Body soap,Bed linens,Freezer,Coffee maker,Conditioner,Dishwasher,Cleaning products,Oven,Self check-in,Cooking basics,Refrigerator,Dishes and silverware"
estrella,48.0,1.0,54,"Hangers,Free street parking,First aid kit,Heating,Wifi,Hair dryer,Bed linens,Clothing storage: closet,AC - split type ductless system,Elevator,Essentials,Room-darkening shades,Host greets you,Hot water,Lock on bedroom door"
delicias,66.0,1.0,12,"First aid kit,Wifi,Kitchen,Hot water,Paid street parking off premises,Microwave,Hangers,Extra pillows and blankets,Portable fans,Heating,Hot water kettle,Elevator,Washer,Paid parking on premises,Wine glasses,Bathtub,Hair dryer,Bed linens,Coffee,Freezer,TV with Amazon Prime Video, Netflix, Apple TV, Chromecast,Drying rack for clothing,Cooking basics,Coffee maker: drip coffee maker,Room-darkening shades,Refrigerator,Dishes and silverware"
embajadores,129.0,1.0,11,"Paid clamp on table seat high chair - available upon request,Wifi,Kitchen,Essentials,Stove,Smart lock,Hot water,Iron,Microwave,Paid crib - available upon request,Clothing storage,Dining table,Free washer  In unit,Heating,Toaster,Shower gel,Hot water kettle,TV,Elevator,Fire extinguisher,Shampoo,Body soap,Hair dryer,Freezer,Outdoor dining area,Coffee maker,Dishes and silverware,Oven,Self check-in,Cooking basics,Wine glasses,Refrigerator,Air conditioning,Outdoor furniture"
piovera,58.0,1.0,44,"Free parking on premises,Paid washer,Breakfast,Heating,Wifi,Hair dryer,TV,Essentials,Backyard,Iron,Refrigerator,Air conditioning,Shampoo"
berruguete,68.0,1.0,32,"Trash compactor,Ethernet connection,Wifi,Kitchen,Essentials,Mini fridge,Hot water,Iron,Luggage dropoff allowed,Microwave,Hangers,Extra pillows and blankets,Clothing storage,Dining table,Heating,Toaster,Shower gel,Hot water kettle,Lockbox,TV,Washer,Shampoo,Wine glasses,Body soap,Hair dryer,Bed linens,Freezer,Coffee maker,Drying rack for clothing,Dishes and silverware,Private entrance,Cleaning products,Oven,Self check-in,Dedicated workspace,Cooking basics,Room-darkening shades,Pocket wifi,Refrigerator,Air conditioning,Single level home"
puerta del angel,75.0,2.0,129,"Books and reading material,Wifi,Kitchen,Essentials,Hot water,Iron,Lida body soap,Hangers,Portable fans,Heating,Hot water kettle,Washer,Portable air conditioning,Shampoo,Sound system with aux,Wine glasses,Bathtub,Hair dryer,Coffee,Freezer,Coffee maker,Blender,Free street parking,Drying rack for clothing,Clothing storage: dresser,Cleaning products,Dedicated workspace,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
sol,185.0,2.0,127,"First aid kit,Wifi,Clothing storage: closet,Kitchen,Essentials,Smart lock,Hot water,Iron,Microwave,Electric stove,Hangers,Dining table,Heating,Toaster,Shower gel,Hot water kettle,TV,Washer,Fire extinguisher,Shampoo,Wine glasses,Long term stays allowed,Hair dryer,Bed linens,Coffee,Freezer,Drying rack for clothing,Dishes and silverware,Cleaning products,Coffee maker: Nespresso,Self check-in,Dedicated workspace,Room-darkening shades,Refrigerator,Air conditioning"
justicia,188.0,1.0,0,"Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Portable fans,Crib - available upon request,Dining table,Toaster,Hot water kettle,TV,Washer,Central heating,Smoke alarm,Bed linens,Air conditioning,Freezer,Coffee maker,Cleaning products,Oven,Cooking basics,Refrigerator,Dishes and silverware"
castillejos,183.0,1.0,9,"Books and reading material,Sound system with Bluetooth and aux,Wifi,Kitchen,Essentials,Hot water,Iron,Microwave,Extra pillows and blankets,Portable fans,Toaster,Portable heater,Paid parking lot off premises,TV,Washer,Central heating,Elevator,Wine glasses,Hair dryer,Bed linens,Host greets you,Freezer,Coffee maker,Blender,Laundromat nearby,Drying rack for clothing,Clothing storage: dresser,Dishwasher,Cleaning products,Cooking basics,Room-darkening shades,Refrigerator,Dishes and silverware"
embajadores,57.0,1.0,9,"First aid kit,Breakfast,Wifi,Kitchen,Essentials,Stove,Hot water,Iron,Microwave,Hangers,Extra pillows and blankets,Clothing storage,Dining table,Heating,Toaster,Shower gel,Hot water kettle,Lockbox,Elevator,Washer,Backyard,Patio or balcony,Lock on bedroom door,Paid parking garage off premises,Shampoo,Long term stays allowed,Body soap,Hair dryer,Bed linens,Coffee,Freezer,Coffee maker,Laundromat nearby,Drying rack for clothing,Dishes and silverware,Cleaning products,Self check-in,Dedicated workspace,Cooking basics,Refrigerator,Air conditioning"
